,date,isin,nav,name
AT0000706601,2020-01-03,AT0000706601,15.94,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-07,AT0000706601,15.94,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-08,AT0000706601,15.94,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-09,AT0000706601,15.94,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-10,AT0000706601,15.93,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-13,AT0000706601,15.94,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-14,AT0000706601,15.93,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-15,AT0000706601,15.93,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-16,AT0000706601,15.93,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-17,AT0000706601,15.93,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-20,AT0000706601,15.94,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-21,AT0000706601,15.94,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-22,AT0000706601,15.94,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-23,AT0000706601,15.94,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-24,AT0000706601,15.95,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-27,AT0000706601,15.95,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-28,AT0000706601,15.96,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-29,AT0000706601,15.96,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-30,AT0000706601,15.97,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-01-31,AT0000706601,15.98,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-02-03,AT0000706601,15.99,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-02-04,AT0000706601,15.99,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-02-05,AT0000706601,15.98,PIONEER AUSTRIA TREND BOND (EUR)
AT0000706601,2020-02-06,AT0000706601,15.96,PIONEER AUSTRIA TREND BOND (EUR)
