,date,isin,nav,name
CH0017475812,2020-01-03,CH0017475812,2173.63,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-06,CH0017475812,2172.68,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-07,CH0017475812,2175.41,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-08,CH0017475812,2177.17,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-09,CH0017475812,2191.66,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-10,CH0017475812,2185.01,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-13,CH0017475812,2194.63,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-14,CH0017475812,2197.15,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-15,CH0017475812,2198.19,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-16,CH0017475812,2211.15,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-17,CH0017475812,2221.88,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-21,CH0017475812,2218.5,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-22,CH0017475812,2216.94,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-23,CH0017475812,2215.64,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-24,CH0017475812,2205.65,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-27,CH0017475812,2164.83,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-28,CH0017475812,2179.96,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-29,CH0017475812,2185.42,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-30,CH0017475812,2181.8,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-01-31,CH0017475812,2154.89,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-03,CH0017475812,2162.72,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-04,CH0017475812,2189.85,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-05,CH0017475812,2214.33,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-06,CH0017475812,2220.51,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-07,CH0017475812,2212.11,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-10,CH0017475812,2217.61,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-11,CH0017475812,2227.39,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-12,CH0017475812,2240.04,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-13,CH0017475812,2235.9,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-14,CH0017475812,2237.39,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-18,CH0017475812,2230.65,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-19,CH0017475812,2237.46,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-20,CH0017475812,2225.34,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-21,CH0017475812,2209.34,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-24,CH0017475812,2143.19,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-25,CH0017475812,2089.05,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-26,CH0017475812,2081.46,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-27,CH0017475812,2003.06,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-02-28,CH0017475812,1970.13,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-02,CH0017475812,2039.42,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-03,CH0017475812,2009.64,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-04,CH0017475812,2065.3,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-05,CH0017475812,2022.15,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-06,CH0017475812,1979.71,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-09,CH0017475812,1838.08,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-10,CH0017475812,1891.2,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-11,CH0017475812,1816.84,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-12,CH0017475812,1638.11,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-13,CH0017475812,1734.85,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-16,CH0017475812,1571.82,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-17,CH0017475812,1634.61,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-18,CH0017475812,1551.02,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-19,CH0017475812,1562.7,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-20,CH0017475812,1522.93,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-23,CH0017475812,1477.9,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-24,CH0017475812,1608.69,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-25,CH0017475812,1647.39,"PICTET F(CH) GLOBAL EQ ""P"" (USD) D"
CH0017475812,2020-03-26,CH0017475812,1729.18,"8PICTET F(CH) GLOBAL EQ ""P"" (USD) D      "
