,date,isin,nav,name
AT0000495189,2020-04-23,AT0000495189,8.55,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-04-24,AT0000495189,8.54,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-04-27,AT0000495189,8.56,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-04-28,AT0000495189,8.57,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-04-29,AT0000495189,8.57,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-04-30,AT0000495189,8.58,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-04,AT0000495189,8.59,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-05,AT0000495189,8.61,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-06,AT0000495189,8.59,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-07,AT0000495189,8.6,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-08,AT0000495189,8.59,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-11,AT0000495189,8.59,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-12,AT0000495189,8.6,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-13,AT0000495189,8.6,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-14,AT0000495189,8.6,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-15,AT0000495189,8.6,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-18,AT0000495189,8.6,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-19,AT0000495189,8.59,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-20,AT0000495189,8.6,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-22,AT0000495189,8.61,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-25,AT0000495189,8.63,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-26,AT0000495189,8.64,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-27,AT0000495189,8.64,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-28,AT0000495189,8.65,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-05-29,AT0000495189,8.66,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-02,AT0000495189,8.68,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-03,AT0000495189,8.68,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-04,AT0000495189,8.69,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-05,AT0000495189,8.7,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-08,AT0000495189,8.71,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-09,AT0000495189,8.72,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-10,AT0000495189,8.73,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-12,AT0000495189,8.73,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-15,AT0000495189,8.73,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-16,AT0000495189,8.73,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-17,AT0000495189,8.73,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-18,AT0000495189,8.75,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-19,AT0000495189,8.75,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-22,AT0000495189,8.75,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-25,AT0000495189,8.76,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-26,AT0000495189,8.76,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-29,AT0000495189,8.76,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-06-30,AT0000495189,8.76,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-01,AT0000495189,8.76,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-02,AT0000495189,8.76,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-03,AT0000495189,8.75,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-06,AT0000495189,8.77,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-07,AT0000495189,8.77,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-08,AT0000495189,8.78,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-09,AT0000495189,8.78,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-10,AT0000495189,8.79,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-13,AT0000495189,8.79,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-14,AT0000495189,8.79,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-15,AT0000495189,8.78,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-17,AT0000495189,8.8,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-20,AT0000495189,8.8,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-21,AT0000495189,8.81,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-22,AT0000495189,8.83,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-23,AT0000495189,8.85,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-24,AT0000495189,8.85,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-27,AT0000495189,8.86,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-28,AT0000495189,8.84,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-29,AT0000495189,8.85,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-30,AT0000495189,8.86,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-07-31,AT0000495189,8.86,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-08-03,AT0000495189,8.87,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-08-04,AT0000495189,8.86,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-08-05,AT0000495189,8.87,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-08-06,AT0000495189,8.88,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-08-07,AT0000495189,8.89,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-08-10,AT0000495189,8.9,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
AT0000495189,2020-08-11,AT0000495189,8.9,"VKB-ANLAGE-MIX CLASSI ""A"" (EUR) D       "
