,date,isin,nav,name
AT0000A139C4,2020-01-03,AT0000A139C4,1092.43,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-07,AT0000A139C4,1090.98,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-08,AT0000A139C4,1093.49,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-09,AT0000A139C4,1094.23,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-10,AT0000A139C4,1096.93,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-13,AT0000A139C4,1097.44,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-14,AT0000A139C4,1098.5,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-15,AT0000A139C4,1101.39,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-16,AT0000A139C4,1101.7,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-17,AT0000A139C4,1103.45,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-20,AT0000A139C4,1108.43,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-21,AT0000A139C4,1110.6,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-22,AT0000A139C4,1109.99,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-23,AT0000A139C4,1112.4,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-24,AT0000A139C4,1111.85,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-27,AT0000A139C4,1113.32,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-28,AT0000A139C4,1105.36,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-29,AT0000A139C4,1106.8,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-30,AT0000A139C4,1109.74,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-01-31,AT0000A139C4,1104.12,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-02-03,AT0000A139C4,1097.36,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-02-04,AT0000A139C4,1100.6,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-02-05,AT0000A139C4,1108.35,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-02-06,AT0000A139C4,1114.7,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-02-07,AT0000A139C4,1119.01,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-02-10,AT0000A139C4,1119.86,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-02-11,AT0000A139C4,1122.05,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-02-12,AT0000A139C4,1125.42,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-02-13,AT0000A139C4,1127.99,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-02-14,AT0000A139C4,1130.98,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-02-17,AT0000A139C4,1132.17,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
AT0000A139C4,2020-02-18,AT0000A139C4,1135.11,C-QUADRAT ARTS TTAL RETRN BLNCD (CZK)
