,date,isin,nav,name
AT0000A189N6,2020-01-03,AT0000A189N6,101.02,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-07,AT0000A189N6,100.73,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-08,AT0000A189N6,100.91,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-09,AT0000A189N6,101.36,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-10,AT0000A189N6,101.87,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-13,AT0000A189N6,102.15,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-14,AT0000A189N6,101.76,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-15,AT0000A189N6,102.02,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-16,AT0000A189N6,101.82,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-17,AT0000A189N6,101.96,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-20,AT0000A189N6,102.16,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-21,AT0000A189N6,102.19,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-22,AT0000A189N6,101.98,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-23,AT0000A189N6,102.46,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-24,AT0000A189N6,102.61,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-27,AT0000A189N6,102.94,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-28,AT0000A189N6,102.44,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-29,AT0000A189N6,102.78,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-30,AT0000A189N6,102.92,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-01-31,AT0000A189N6,102.21,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-03,AT0000A189N6,101.76,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-04,AT0000A189N6,102.17,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-05,AT0000A189N6,102.72,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-06,AT0000A189N6,103.0,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-07,AT0000A189N6,102.97,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-10,AT0000A189N6,102.42,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-11,AT0000A189N6,102.71,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-12,AT0000A189N6,103.08,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-13,AT0000A189N6,103.18,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-14,AT0000A189N6,103.29,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-17,AT0000A189N6,103.51,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-18,AT0000A189N6,103.57,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-19,AT0000A189N6,103.29,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-20,AT0000A189N6,103.34,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-21,AT0000A189N6,102.54,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-24,AT0000A189N6,102.36,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-25,AT0000A189N6,101.64,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-26,AT0000A189N6,101.62,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-27,AT0000A189N6,101.42,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-02-28,AT0000A189N6,99.68,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-02,AT0000A189N6,98.58,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-03,AT0000A189N6,98.44,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-04,AT0000A189N6,99.82,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-05,AT0000A189N6,100.46,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-06,AT0000A189N6,99.42,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-09,AT0000A189N6,98.19,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-10,AT0000A189N6,95.53,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-11,AT0000A189N6,96.05,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-12,AT0000A189N6,95.42,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-13,AT0000A189N6,93.17,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-16,AT0000A189N6,93.74,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-17,AT0000A189N6,91.16,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-18,AT0000A189N6,91.74,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-19,AT0000A189N6,90.19,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-20,AT0000A189N6,89.79,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-23,AT0000A189N6,90.63,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-24,AT0000A189N6,88.33,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-25,AT0000A189N6,89.34,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-03-26,AT0000A189N6,90.35,"IQAM BOND LC EMERGING ""RA"" (EUR)"
AT0000A189N6,2020-04-24,AT0000A189N6,91.27,"IQAM BOND LC EMERGING ""RA"" (EUR)        "
AT0000A189N6,2020-04-27,AT0000A189N6,90.92,"IQAM BOND LC EMERGING ""RA"" (EUR)        "
AT0000A189N6,2020-04-28,AT0000A189N6,90.98,"IQAM BOND LC EMERGING ""RA"" (EUR)        "
AT0000A189N6,2020-04-29,AT0000A189N6,91.44,"IQAM BOND LC EMERGING ""RA"" (EUR)        "
