,date,isin,nav,name
CH0002788401,2020-01-03,CH0002788401,2065.29,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-06,CH0002788401,2061.61,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-07,CH0002788401,2056.67,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-08,CH0002788401,2071.47,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-09,CH0002788401,2074.38,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-10,CH0002788401,2064.46,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-13,CH0002788401,2077.44,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-14,CH0002788401,2081.85,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-15,CH0002788401,2078.58,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-16,CH0002788401,2105.09,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-17,CH0002788401,2106.88,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-21,CH0002788401,2100.47,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-22,CH0002788401,2103.43,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-23,CH0002788401,2114.56,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-24,CH0002788401,2085.48,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-27,CH0002788401,2041.86,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-28,CH0002788401,2069.59,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-29,CH0002788401,2056.82,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-30,CH0002788401,2066.59,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-01-31,CH0002788401,2018.1,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-03,CH0002788401,2025.1,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-04,CH0002788401,2067.89,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-05,CH0002788401,2083.03,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-06,CH0002788401,2084.41,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-07,CH0002788401,2056.09,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-10,CH0002788401,2073.72,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-11,CH0002788401,2085.38,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-12,CH0002788401,2103.76,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-13,CH0002788401,2101.09,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-14,CH0002788401,2097.84,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-18,CH0002788401,2085.6,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-19,CH0002788401,2093.24,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-20,CH0002788401,2096.77,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-21,CH0002788401,2081.58,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-24,CH0002788401,2003.07,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-25,CH0002788401,1933.72,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-26,CH0002788401,1913.61,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-27,CH0002788401,1843.54,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-02-28,CH0002788401,1817.4,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-02,CH0002788401,1886.8,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-03,CH0002788401,1829.95,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-04,CH0002788401,1904.13,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-05,CH0002788401,1828.55,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-06,CH0002788401,1788.77,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-09,CH0002788401,1632.78,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-10,CH0002788401,1698.95,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-11,CH0002788401,1615.3,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-12,CH0002788401,1434.0,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-13,CH0002788401,1555.42,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-16,CH0002788401,1338.75,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-17,CH0002788401,1383.91,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-18,CH0002788401,1250.57,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-19,CH0002788401,1292.55,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-20,CH0002788401,1258.8,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-23,CH0002788401,1230.29,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-24,CH0002788401,1371.31,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-25,CH0002788401,1433.47,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC"
CH0002788401,2020-03-26,CH0002788401,1503.94,"8UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC "
CH0002788401,2020-03-27,CH0002788401,1431.7,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC "
CH0002788401,2020-03-30,CH0002788401,1460.22,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC "
CH0002788401,2020-03-31,CH0002788401,1441.77,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC "
CH0002788401,2020-04-01,CH0002788401,1338.27,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC "
CH0002788401,2020-04-02,CH0002788401,1339.55,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC "
CH0002788401,2020-04-03,CH0002788401,1318.06,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC "
CH0002788401,2020-04-06,CH0002788401,1444.1,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC "
CH0002788401,2020-04-07,CH0002788401,1467.31,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC "
CH0002788401,2020-04-08,CH0002788401,1542.39,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC "
CH0002788401,2020-04-09,CH0002788401,1588.46,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC "
CH0002788401,2020-04-14,CH0002788401,1572.89,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC "
CH0002788401,2020-04-15,CH0002788401,1523.97,"UBS(CH)EQUITY FD-US SUSTAINABLE ""P"" INC "
